ID,Feature,Description
R-153,Image Display,"Determine whether animated GIFs continue to animate after an
        extended period of 24 hours or greater."
R-155,Animated Images,"Determine whether displaying animated GIFs result in single server
        request for the image, rather than additional requests upon each frame
        change."
R-157,Image Display,"Determine whether X Bitmap (XBM) format images can be displayed.Note: XBM will not be supported in the initial 5.0
          release."
R-160,Stress,"Determine whether the web brower gracefully deals with unusual,
        corrupted, or invalid GIF images."
R-161,Test applets in HTML tags,"Test applets within <embed>, <applet> and 
  <object> tags"
R-165,Replace Forgotten Master Password,"Verify that the process to replace a forgotten master password is
      easier/more discoverable (though encrypted information should still be
      lost to the user who has forgotten their password)."
R-167,"Save username and password, never for this site","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-169,"Activation, disable after saved","Verify that when the password manager has been disabled, it is no
      longer in use, even for passwords already saved"
R-190,Test Page,Print a test page and check to see if it prints properly
R-200,Top Web Sites,Determine if  top web sites print properly
R-205,Print Character Styles,Determine if character styles print correctly
R-206,Print Paragraph Styles,Determine if paragraph styles print correctly
R-208,Page Setup(mac only),Determine id Page Setup dialog works correctly
R-209,Off-Line Printing,Determine that off-line printing works
R-213,Realplayer tests,Determine if Realaudio works properly
R-214,Quicktime tests,Determine if quicktime movies play properly
R-215,Sound tests,Determine if files with various sound formats play properly
R-217,Acrobat Tests,Determine if Acrobat plugin works properly
R-220,Search button,Verify that just clicking Search button goes to search page
R-232,Shift Select,"Determine whether shift-select gestures for text function
        properly."
R-234,JavaScript,"Determine whether text from a JavaScript applet is properly
        selected in conjunction with other page content."
R-237,Constraints,Check for maximum width of Sidebar
R-244,Add/Remove,Delete a panel
R-250,Re-Order,Verify reordering of panels works
R-251,Cancel,Verify that nothing changes when you cancel
R-252,Save,Verify that order and panel list is immediately applied
R-255,Bookmarks,Verify that links in Bookmarks work
R-260,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-262,URL in current browser window,"Open a web location (URL) in the current Navigator window. Includes
        test to dismiss dialog."
R-265,URL autocompletion,"After viewing a file/page or three, test URL
        autocompletion: test for current browser, new browser and new editor
        windows."
R-267,Local file in current browser window,"Open local files (both HTML and plain text tested) in the current
        Navigator window. Includes tests to dismiss dialog."
R-269,Local file in an editor window,"Open local files (both HTML and plain text tested) in a Composer
        window. Includes tests to dismiss dialog."
R-270,Nonexistent local file,Open a nonexistent (bogus) local file.
R-271,URL to a image files,"Open web locations to various image files, such as.gif,.jpg."
R-273,Use on Win32,"Use of the native Win32 file picker to navigate through directories
        and open files (html, plaintext, image). Cancellation also tested."
R-274,Use on Mac OS,"Use of the native Mac OS file picker to navigate through
        directories and open files (html, plaintext, image). Cancellation also
        tested."
R-277,Basic find in page and frame content,"Find in html page and html frame documents. Test Find Again and
        cancellation. Test for NOFRAME content."
R-284,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-290,Color coding,"Verify the expected displayed color for content, tags/attributes,
        values, script code, entities, etc."
R-298,Testing under Classic theme,Verify Classic theme works as advertised
R-299,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-300,Testing under Modern theme,Verify Modern theme works as advertised
R-302,Checking View menu,Verify if themes exist under View menu
R-304,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-306,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-309,Active/Inactive Window,"The active window is visually distinct, inactive = grey title
        bar."
R-315,Stretch Window Diagonally,"Grab any corner of window and drag to resize. Only bottom-right
        corner on Mac."
R-317,Scroll Arrow Down,Click down arrow to scroll page
R-323,Add a folder,"Verify that a folder added to the personal toolbar functions
        properly."
R-325,Correct items/links,Verify that the correct items are in the taskbar.
R-326,Component buttons,Verify that component buttons work and behave as appropriate.
