ID,Purpose,Test steps
222,Events to alert list,"Reset the clock in the meter. Trigger self-diagnosis and generate a fault during the diagnosis itself. Disconnect the power on one phase. Disconnect the power on several phases. Connect production to the meter, and the measuring point in HES has a profile for consumption only. Unscrew a voltage fuse on the meter board so that an event is generated in the meter. Unscrew the 'zero' so that an event is generated in the meter. Use super magnet at the meter to cause an event in the meter. Set a low limit value in the meter. For both cat 1 and cat 2 - generate high current at meter to cause event. For both cat 1 and cat 2 - generate high power on meter to cause event. Generate overheating"
224,Filtering and sorting in alarm list,Verify that a User has the ability to filter and sort in the alarm list.
237,Detecting meters with communication problems,Verify that in HES it is possible for the User to detect and see individual Metering Units that have communication problems.
238,View last measurement value and time,Verify that the last Measured Value and the time of communication with the Metering Unit are displayed in HES. Verify that the last Measured Value and the time of communication with the Metering Unit are displayed in the HES.
245,Customer interface is disabled by default,"Verify that on delivery from the factory, the Customer Interface of the Metering Unit is deactivated."
247,Cumulative calculator,Verify that the metering unit is equipped with a cumulative counter and displays at least 7 integer digits and 3 decimal digits.
248,Metering unit display - Cat1 1 phase,Verify that the display of the Metering Unit for each phase can show the instantaneous value of voltage. Verify that the display of the Metering Unit for each phase can show the instantaneous value of current. Verify that the display of the Metering Unit for each phase can show the instantaneous value of power for the extraction and input of electricity.
249,Metering unit display - Cat1 3 phase,Verify that the display of the Metering Unit for each phase can show the instantaneous value of voltage. Verify that the display of the Metering Unit for each phase can show the instantaneous value of current. Verify that the display of the Metering Unit for each phase can show the instantaneous value of power for the extraction and input of electricity.
250,Metering unit display - Cat2,Verify that the display of the Metering Unit for each phase can show the instantaneous value of voltage. Verify that the display of the Metering Unit for each phase can show the instantaneous value of current. Verify that the display of the Metering Unit for each phase can show the instantaneous value of power for the extraction and input of electricity.
251,Correct meter setting,"Verify that the Meter Reading on the Metering Unit always matches the numerical capacity of the collected Energy Value and the display, even if the Meter Readings have rolled over."
260,Selecting dates with calendar function,"Verify that where there is a need to select dates in HES, this is done through a time and calendar function."
263,Calendar in Swedish format,"Verify that the HES calendar is displayed in Swedish format (YYYY-MM-DD, Y=year, M=month, D=day)"
271,copy static fields,"Verify that it is possible to copy static fields in HES such as headers, status, responses to Events in the system."
273,Request further confirmation,"Verify that commands, initiated by the User in HES, which may have serious consequences in case of incorrect handling (deletion of stored measurement and structure data and switching off and on of power) require additional confirmation before being executed. Verify that commands which do not have serious consequences do not require additional confirmation before being executed."
274,Mass deletion,Verify that in HES there is a function to perform mass deletion of overall structure data objects so that all linked relations are also deleted. E.g. that this is implemented via group membership.
279,Configuring the Metering Unit,Verify that configuration of the Metering Device from HES can be performed without downloading new Firmware.
293,Corrected measurement values,"Verify that the metering device corrects the measured values of voltage and/or current when calculating energy consumption, these values shall also be those used in the Metering System."
302,Possible overheating - Cat1 1 phase,Verify that the metering device has the capability to detect connections that may cause overheating.
303,Possible overheating - Cat1 3 phase,Verify that the metering device has the capability to detect connections that may cause overheating.
304,Possible overheating - Cat2,Verify that the metering device has the capability to detect connections that may cause overheating.
310,Measurement and recording / phase,"Verify that the Metering Unit for each phase is able to measure and record the minimum, maximum and average value of voltage, current, active and reactive power of the electricity output and input per 5 minutes."
319,Record communication errors,"Verify that the Metering System is able to record and store information when the following Events occur:
8. communication failure"
327,Record when high power exceeds limit value per phase,"Verify that the Metering System is able to record and store information when the following Events occur:
14. High power exceeds set limit value per phase"
328,Record when power output exceeds limit value,"Verify that the Metering System is able to record and store information when the following Events occur:
15. Total power consumption exceeds set limit value"
330,Register overheating in connection,"Verify that the Metering System is able to record and store information when the following Events occur:
17. In case of connection overheating"
331,Configure records to be stored for events,Verify that for each Event it is possible to optionally configure which registers (OBIS codes) in the Metering Unit should be stored.
339,Communication status - Cat1 1 phase,"Verify that it is possible to view the communication status of the Metering Unit directly, without manual intervention and without opening the meter."
340,Communication status - Cat1 3 phase,"Verify that it is possible to view the communication status of the Metering Unit directly, without manual intervention and without opening the meter."
341,Communication status - Cat2,"Verify that it is possible to view the communication status of the Metering Unit directly, without manual intervention and without opening the meter."
348,Status of the customer interface,Verify that in HES it is possible to see if the Customer Interface in a Metering Unit is enabled or disabled for data sending.
352,Interpolation in HES,Verify that there is functionality in HES to perform interpolations where the collected value is missing.
358,Response times in the user interface,"Verify that HES user interface response times do not exceed:
- 0.5 s from input, keystroke or equivalent to first response on screen
- 0.5 s for display of form view including data
- 5 s for viewing simple report
- 15 s for login"
360,Block switches from HES,"For Cat1 - 1 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat1 - 3 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat2 meters, verify that the Meter breaker cannot be blocked from HES to prevent local connection."
362,Energy values to HES within 2h,Verify that the Energy values (15-minute values) are delivered to HES within 2 hours from registration in the Metering Unit.
364,PQ values to HES within 4h,Verify that the PQ values (15-minute values) can be delivered at the latest within 4 hours from the registration in the Metering Units to HES
430,Management of both primary and secondary registration - Cat2,Verify that the Metering Units can handle primary registration of Measured Values. Verify that the Metering Units can handle secondary registration of Measured Values.
432,Cat 2 shall meet the requirements for control,"Verify that Metering Units Category 2 meet the requirements for Inspection, according to Regulation STAFS 2009:8, for the first Inspection. However, only for a maximum of 12 years after Final Approval has been given by the Client."
434,minimum rated current 5A,Verify that the Metering Unit is rated for at least a current of 5 (Imax 100) A.
441,Visible manufacturing number - communication module - Cat1,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
442,Visible manufacturing number - communication module - Cat2,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
447,Legible marking - Cat1,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
448,Legible marking - Cat2,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
451,Location of the marking - Cat1,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
452,Location of the label - Cat2,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
455,Designed for wall mounting - Cat1,Verify that the Metering Units are designed for wall mounting.
456,Designed for wall mounting - Cat2,Verify that the Metering Units are designed for wall mounting.
463,Terminal block - Cat1,Verify that the Metering Unit has terminal covers that cover the connection cable layer.
464,Terminal block - Cat2,Verify that the Metering Unit has terminal covers that cover the connection cable layer.
465,screw anchors - Cat2,Verify that there are no elevations around the Metering Unit's screw attachments that limit the size of the screw head.
466,screw anchors - Cat1,Verify that there are no elevations around the Metering Unit's screw attachments that limit the size of the screw head.
467,mounting bracket - Cat1,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
468,mounting bracket - Cat2,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
471,sealing device - Cat1,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
472,sealing device - Cat2,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
478,Management of both primary and secondary registration - Cat1,Verify that the Metering Units can handle both primary and secondary recording of Metering Values.
479,Licensed telecommunications networks,Verify that the licensed telecommunications network complies with Ordinances and Regulations in accordance with PTSFS 2015:2 issued by PTS (Post- och Telestyrelsen).
480,Life expectancy of communication equipment - Cat1,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
483,Quantity of allowed faulty meters Cat1 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
484,Amount of allowed faulty meters Cat2 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
485,Lifetime Cat2,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
486,Life expectancy of communication equipment - Cat2,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
489,Recovery time after communication breakdown max 60 min,Break the communication link from meter. Voltage is left in meter. Wait one hour and turn on the link again.
491,Design of the solution,Review installed solution and compare with requirements in 2.1 Technical solution.
593,Automatic export of energy values,Wait until the time for export occurs.
594,Manual export of energy values,Start an export from HES.
615,Setting the number of decimal places,Verify that the number of decimal places displayed corresponds to the number of decimal places configured to be displayed for a measurement value. Verify that the number of decimal places displayed corresponds to the number of decimal places configured to be displayed for a measurement value.
646,Authentication against neighboring systems,Verify that authentication is used when the Metering System interacts with neighboring systems.
