ID,Feature,Description
R-123,Load recorded url,"Verify that double-clicking on a history link causes it to be
        launched in a browser window."
R-126,Erase all,Clear all of history
R-128,Change grouping,Change the History View to Group by Day|Site|None
R-129,Sort by columns,sort and reverse-sort per column
R-135,Back and Forward button dropdowns,"Verify recently visited sites are in Back and Forward button
        dropdown menu and work."
R-136,Surf Go menuitems,Verify browser goes back and forward to recently visited sites
R-139,Back and forward with named anchors,"Verify browser goes back and forward correctly from sites that use
        named anchors"
R-140,Retain scroll position,"Verify that browser remembers scroll state when returning to pages
        in SH"
R-147,Set image as wallpaper,Determine that you are able to set image as wallpaper.
R-149,Image Display,"Determine whether images are properly redithered upon system
        bit-depth changes."
R-153,Image Display,"Determine whether animated GIFs continue to animate after an
        extended period of 24 hours or greater."
R-156,Animated Images,"To determine whether multiple differing animated images on the same
        page are properly displayed"
R-157,Image Display,"Determine whether X Bitmap (XBM) format images can be displayed.Note: XBM will not be supported in the initial 5.0
          release."
R-158,Image Display,"Determine whether GIF 87 images are properly displayed across
        different bit depths."
R-169,"Activation, disable after saved","Verify that when the password manager has been disabled, it is no
      longer in use, even for passwords already saved"
R-170,"Activiation, Http Authentication","Need a good working case for this, working on
      it"
R-174,Preferences disable,"Verify that when you disable password manager from the preferences
      panel, you no longer are asked if you would like to save passwords and
      longer get prefilled info on sites"
R-175,Preferences enable,"Verify that when you enable password manager from the preferences
      panel, you are asked if you would like to save usernames and passwords
      and get prefilled info on sites"
R-177,"Preferences, view passwords never saved","Verify that when you have designated not to ever save a username and
      password in password manager, this information can be viewed in the
      password manager through preferences (expedia.com)"
R-178,"Preferences, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (espn.com)"
R-181,"Preferences, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager (ivillage.com)"
R-184,"Tasks, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (netscape.com)"
R-185,"Tasks, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager (lycos.com)"
R-191,Alignment Test,"Determine if a page with aligned text prints as seen on
        screen"
R-195,"Print a ""Page Source""",Determine if page source prints as seen on screen
R-197,Print Mozillazine poll result page,Determine if the Mozillazine Poll results page prints properly
R-203,Print Lists,Determine if lists print correctly
R-206,Print Paragraph Styles,Determine if paragraph styles print correctly
R-209,Off-Line Printing,Determine that off-line printing works
R-212,Macromedia Flash plugin,Determine if flash movies play correctly.
R-221,Search button,"Verify that clicking search button will search text entered in
      URLBar."
R-224,basic sidebar search,Verify that a user can change the search engine
R-227,Drag-selection,"Currently, it is my understanding that there will be no new
        features in this area (can monitor bug list)"
R-232,Shift Select,"Determine whether shift-select gestures for text function
        properly."
R-238,Width,Retaining non-default size on reopen or new window
R-240,Mouse Over,"Verify that panels appear highlighted when mouse is moved over
        them"
R-246,Add/Remove,Verify list of available remote panels
R-247,Add/Remove,Verify list of available local panels
R-249,Customization,Test the Customization of panels
R-250,Re-Order,Verify reordering of panels works
R-252,Save,Verify that order and panel list is immediately applied
R-254,What's Realted,Verify that links in What's Related panels work
R-256,Bookmarks,Verify that changes reflect immediately from Bookmarks Manager
R-258,Add Menu,"Verify that unselecting panels from Add menu removes panels from
        the Sidebar"
R-260,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-261,Basic UI and navigation,"Determine that interface features (buttons, textfield, droplist)
        appear and behave as expected. Includes tests to dismiss dialog."
R-265,URL autocompletion,"After viewing a file/page or three, test URL
        autocompletion: test for current browser, new browser and new editor
        windows."
R-267,Local file in current browser window,"Open local files (both HTML and plain text tested) in the current
        Navigator window. Includes tests to dismiss dialog."
R-271,URL to a image files,"Open web locations to various image files, such as.gif,.jpg."
R-277,Basic find in page and frame content,"Find in html page and html frame documents. Test Find Again and
        cancellation. Test for NOFRAME content."
R-285,Context menu access,Viewing page and frame source via context menu.
R-286,View source of other content,"View source of plaintext, xml page, ftp listing."
R-287,Navigation/UI,"Scrolling and keyboard navigation within the source window. Also
        should be able to use keyboard accelerators. Resize source window."
R-289,Select and copy,Select and copy strings from the source window.
R-305,Verify all the selectable items work under Modern theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Modern theme"
R-306,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-311,Collapse (mac only),Click to shrink to content
R-313,Stretch Window Horizontally,"Grab left/right window edge and drag to resize. Not available on
        Mac."
R-316,Scroll Arrow Up,Click up arrow to scroll page
R-325,Correct items/links,Verify that the correct items are in the taskbar.
