ID,Purpose,Test steps
237,Detecting meters with communication problems,Verify that in HES it is possible for the User to detect and see individual Metering Units that have communication problems.
245,Customer interface is disabled by default,"Verify that on delivery from the factory, the Customer Interface of the Metering Unit is deactivated."
255,Display of PQ values,Verify that in HES it is possible to analyze and visualize PQ values in e.g. graphs and bars.
273,Request further confirmation,"Verify that commands, initiated by the User in HES, which may have serious consequences in case of incorrect handling (deletion of stored measurement and structure data and switching off and on of power) require additional confirmation before being executed. Verify that commands which do not have serious consequences do not require additional confirmation before being executed."
279,Configuring the Metering Unit,Verify that configuration of the Metering Device from HES can be performed without downloading new Firmware.
281,Create groups,"Verify that groups can be created dynamically by the User in HES using different parameters, e.g. Facility ID for export of collected data or meter software upgrade where group can be by postcode or meter identity."
293,Corrected measurement values,"Verify that the metering device corrects the measured values of voltage and/or current when calculating energy consumption, these values shall also be those used in the Metering System."
319,Record communication errors,"Verify that the Metering System is able to record and store information when the following Events occur:
8. communication failure"
328,Record when power output exceeds limit value,"Verify that the Metering System is able to record and store information when the following Events occur:
15. Total power consumption exceeds set limit value"
330,Register overheating in connection,"Verify that the Metering System is able to record and store information when the following Events occur:
17. In case of connection overheating"
332,Disable sending of Events from specific Metering Unit,Verify that it is possible to disable the sending of Events from the designated Metering Unit from HES in order not to have to receive a large amount of Events from a particular Metering Unit.
348,Status of the customer interface,Verify that in HES it is possible to see if the Customer Interface in a Metering Unit is enabled or disabled for data sending.
352,Interpolation in HES,Verify that there is functionality in HES to perform interpolations where the collected value is missing.
358,Response times in the user interface,"Verify that HES user interface response times do not exceed:
- 0.5 s from input, keystroke or equivalent to first response on screen
- 0.5 s for display of form view including data
- 5 s for viewing simple report
- 15 s for login"
360,Block switches from HES,"For Cat1 - 1 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat1 - 3 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat2 meters, verify that the Meter breaker cannot be blocked from HES to prevent local connection."
364,PQ values to HES within 4h,Verify that the PQ values (15-minute values) can be delivered at the latest within 4 hours from the registration in the Metering Units to HES
430,Management of both primary and secondary registration - Cat2,Verify that the Metering Units can handle primary registration of Measured Values. Verify that the Metering Units can handle secondary registration of Measured Values.
432,Cat 2 shall meet the requirements for control,"Verify that Metering Units Category 2 meet the requirements for Inspection, according to Regulation STAFS 2009:8, for the first Inspection. However, only for a maximum of 12 years after Final Approval has been given by the Client."
434,minimum rated current 5A,Verify that the Metering Unit is rated for at least a current of 5 (Imax 100) A.
441,Visible manufacturing number - communication module - Cat1,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
442,Visible manufacturing number - communication module - Cat2,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
445,Resistant marking - Cat1,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
446,Resistant marking - Cat2,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
447,Legible marking - Cat1,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
448,Legible marking - Cat2,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
451,Location of the marking - Cat1,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
452,Location of the label - Cat2,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
467,mounting bracket - Cat1,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
468,mounting bracket - Cat2,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
471,sealing device - Cat1,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
472,sealing device - Cat2,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
478,Management of both primary and secondary registration - Cat1,Verify that the Metering Units can handle both primary and secondary recording of Metering Values.
479,Licensed telecommunications networks,Verify that the licensed telecommunications network complies with Ordinances and Regulations in accordance with PTSFS 2015:2 issued by PTS (Post- och Telestyrelsen).
480,Life expectancy of communication equipment - Cat1,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
483,Quantity of allowed faulty meters Cat1 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
484,Amount of allowed faulty meters Cat2 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
485,Lifetime Cat2,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
486,Life expectancy of communication equipment - Cat2,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
616,Installation of new metering device via integration,Information regarding structure data for new set-up is sent from the integration interface Mint to Collection Manager. Verify that information entered on the user point in Collection Manager corresponds to what is specified in the Work Order. An acknowledgment is sent to Generis that the meter is set up in Collection Manager. Check that the user point is displayed under the correct coordinates in the map view in Vision. Check that the meter has the correct profile and that Energy values. PQ values and GSM diagnostics are pushed from the meter at the correct interval.
618,Dismantling of metering unit via integration,Information regarding the structure data for the removal of a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the metering unit is removed in Collection Manager and does not have a connection to the user point.
619,Update of measurement point in CM,Information regarding the structure data for updating a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the information to be updated via Mint has also been changed at the current user point.
620,New Metering Unit is set up in CM and taken down in ACM - Take down fails in ACM,Initiate a new set-up of a metering unit in CM and ensure that the metering unit is still in ACM when the new set-up is carried out in CM. A message is sent from CM to Generis stating that the metering unit in ACM is not taken down.
621,New Metering Unit is set up in CM and taken down in AiMiR - Take down fails in AiMiR,Initiate a new set-up of a metering unit in CM and ensure that the metering unit remains in AiMiR when the new set-up is carried out in CM. Mail is sent to the AiMir box.
622,New Metering Unit is set up in CM and taken down in ACM - Set-up fails in CM,Initiate a new set-up of a metering unit in CM and make sure that the metering unit is already connected to another facility in CM. Message is sent from CM to Generis stating that the metering unit is not created in CM.
623,New Metering Unit is set up in CM and taken down in AiMiR - Set-up fails in CM,Initiate a new set-up of a metering unit in CM and ensure that the metering unit is still in AiMir when the new set-up is carried out in CM. A message is sent from CM to Generis stating that the metering unit has not been created in CM.
624,Existing Metering Unit is changed in CM - Meter change fails in CM,Initiate a meter change of an existing metering unit in CM to a New Metering Unit. Enter incorrect serial number for the existing meter in the Work Order. Message is sent from CM to Generis stating that the metering unit is not created in CM. Verify the status of the work order in Generis.
625,New metering unit set up in CM - Set up fails in CM,Initiate new installation of a metering unit in CM. Enter a serial number for the metering unit already connected to an installation in the work order. Message is sent from CM to Generis stating that the metering unit is not created in CM. Verify the status of the work order in Generis.
626,Metering unit is taken down in CM - Take-down fails in CM,Initiate a removal of a metering unit in CM where mandatory information in the work order is not complete. Message is sent from CM to Generis stating that the metering unit is not removed in CM. Verify the status of the work order in Generis.
642,Hardware for the user interface,"HES shall be designed to be used with different types of computers, tablets and smart phones, with different architectures and operating systems."
653,Common Information Model (CIM),Examine the content of the messages from HES.
