"","Model","PromptA","PromptB","pvalue","VDA","SSD","Eff.Size","Best"
"43","MIXTRAL","BASE","PT7",0,1,"Yes","Large","BASE"
"44","MIXTRAL","PT1","PT2",0,1,"Yes","Large","PT1"
"45","MIXTRAL","PT1","PT3",0,0,"Yes","Large","PT3"
"46","MIXTRAL","PT1","PT4",0,1,"Yes","Large","PT1"
"47","MIXTRAL","PT1","PT5",1,0.4,"No","Small","PT5"
"48","MIXTRAL","PT1","PT6",0,1,"Yes","Large","PT1"
"49","MIXTRAL","PT2","PT3",0,0,"Yes","Large","PT3"
"50","MIXTRAL","PT2","PT5",0,0.2,"Yes","Large","PT5"
"51","MIXTRAL","PT2","PT6",0,1,"Yes","Large","PT2"
"52","MIXTRAL","PT2","PT7",0,0,"Yes","Large","PT7"
"53","MIXTRAL","PT3","PT4",0,1,"Yes","Large","PT3"
"54","MIXTRAL","PT3","PT5",1,0.52,"No","Negligible","---"
"55","MIXTRAL","PT3","PT6",0,1,"Yes","Large","PT3"
"56","MIXTRAL","PT3","PT7",0,1,"Yes","Large","PT3"
"57","MIXTRAL","PT4","PT5",0,0.2,"Yes","Large","PT5"
"58","MIXTRAL","PT4","PT6",0,1,"Yes","Large","PT4"
"59","MIXTRAL","PT4","PT7",0,0,"Yes","Large","PT7"
"60","MIXTRAL","PT5","PT6",0,0.98,"Yes","Large","PT5"
"61","MIXTRAL","PT5","PT7",1,0.6,"No","Small","PT5"
"62","MIXTRAL","PT6","PT7",0,0,"Yes","Large","PT7"
"63","GPT-3.5","BASE","PT2",0,1,"Yes","Large","BASE"
"64","GPT-3.5","BASE","PT3",0,0.12,"Yes","Large","PT3"
"65","GPT-3.5","BASE","PT5",0,0.11,"Yes","Large","PT5"
"66","GPT-3.5","BASE","PT6",0,0,"Yes","Large","PT6"
"67","GPT-3.5","BASE","PT7",0,0.1,"Yes","Large","PT7"
"68","GPT-3.5","PT2","PT3",0,0,"Yes","Large","PT3"
"69","GPT-3.5","PT2","PT5",0,0,"Yes","Large","PT5"
"70","GPT-3.5","PT2","PT6",0,0,"Yes","Large","PT6"
"71","GPT-3.5","PT2","PT7",0,0,"Yes","Large","PT7"
"72","GPT-3.5","PT3","PT5",1,0.55,"No","Negligible","---"
"73","GPT-3.5","PT3","PT6",0,0.11,"Yes","Large","PT6"
"74","GPT-3.5","PT3","PT7",1,0.53,"No","Negligible","---"
"75","GPT-3.5","PT5","PT6",0,0.09,"Yes","Large","PT6"
"76","GPT-3.5","PT5","PT7",1,0.48,"No","Negligible","---"
"77","GPT-3.5","PT6","PT7",0,0.9,"Yes","Large","PT6"
