"","Model","Prompt","Measure","Mean","Median","SD","YMin","YMax","MedianDiff","Improvement","Hline"
"43","LLAMA","PT5","Precision",0.707454984628897,0.708333333333333,0.00880612645779148,0.698648858171106,0.716261111086689,-0.0307971014492751,FALSE,0.739130434782608
"44","LLAMA","PT5","Recall",0.838333333333333,0.85,0.0215091533576038,0.81682417997573,0.859842486690937,0,FALSE,0.85
"45","LLAMA","PT6","Precision",0.661616161616161,0.666666666666666,0.0114863339936197,0.650129827622541,0.673102495609781,-0.072463768115942,FALSE,0.739130434782608
"46","LLAMA","PT6","Recall",0.7,0.7,0,0.7,0.7,-0.15,FALSE,0.85
"47","LLAMA","PT7","Precision",0.656846153846153,0.666666666666666,0.0234804713539077,0.633365682492246,0.680326625200061,-0.072463768115942,FALSE,0.739130434782608
"48","LLAMA","PT7","Recall",0.793333333333333,0.8,0.0253708131702462,0.767962520163087,0.81870414650358,-0.0499999999999999,FALSE,0.85
"49","MISTRAL","BASE","Precision",0.644788441692466,0.647058823529411,0.0124353934624496,0.632353048230016,0.657223835154915,0,FALSE,0.647058823529411
"50","MISTRAL","BASE","Recall",0.55,0.55,0,0.55,0.55,0,FALSE,0.55
"51","MISTRAL","PT1","Precision",1,1,0,1,1,0.352941176470589,TRUE,0.647058823529411
"52","MISTRAL","PT1","Recall",0.111666666666667,0.1,0.0215091533576038,0.0901575133090629,0.13317582002427,-0.45,FALSE,0.55
"53","MISTRAL","PT2","Precision",1,1,0,1,1,0.352941176470589,TRUE,0.647058823529411
"54","MISTRAL","PT2","Recall",0.29,0.3,0.0380562197553694,0.251943780244631,0.328056219755369,-0.25,FALSE,0.55
"55","MISTRAL","PT3","Precision",0.580555555555555,0.583333333333333,0.0152145154862546,0.565341040069301,0.59577007104181,-0.063725490196078,FALSE,0.647058823529411
"56","MISTRAL","PT3","Recall",0.353333333333333,0.35,0.0182574185835055,0.335075914749828,0.371590751916839,-0.2,FALSE,0.55
"57","MISTRAL","PT4","Precision",0.574843276911904,0.56,0.0286990534052755,0.546144223506629,0.60354233031718,-0.087058823529411,FALSE,0.647058823529411
"58","MISTRAL","PT4","Recall",0.721666666666667,0.7,0.0386927181363833,0.682973948530283,0.76035938480305,0.15,TRUE,0.55
"59","MISTRAL","PT5","Precision",0.499441932403853,0.5,0.038259032597957,0.461182899805896,0.53770096500181,-0.147058823529411,FALSE,0.647058823529411
"60","MISTRAL","PT5","Recall",0.788333333333333,0.775,0.127768198874674,0.66056513445866,0.916101532208007,0.225,TRUE,0.55
"61","MISTRAL","PT6","Precision",0.530176767676768,0.53125,0.00408431651414952,0.526092451162618,0.534261084190917,-0.115808823529411,FALSE,0.647058823529411
"62","MISTRAL","PT6","Recall",0.85,0.85,0,0.85,0.85,0.3,TRUE,0.55
"63","MISTRAL","PT7","Precision",0.38883608358347,0.386363636363636,0.0366010712196297,0.35223501236384,0.4254371548031,-0.260695187165775,FALSE,0.647058823529411
"64","MISTRAL","PT7","Recall",0.838333333333333,0.85,0.0284160388577968,0.809917294475537,0.86674937219113,0.3,TRUE,0.55
"65","MIXTRAL","BASE","Precision",0.72818035426731,0.739130434782608,0.0334118248160979,0.694768529451212,0.761592179083408,0,FALSE,0.739130434782608
"66","MIXTRAL","BASE","Recall",0.85,0.85,0,0.85,0.85,0,FALSE,0.85
"67","MIXTRAL","PT1","Precision",0.888888888888889,0.916666666666666,0.0468517130321668,0.842037175856722,0.935740601921055,0.177536231884058,TRUE,0.739130434782608
"68","MIXTRAL","PT1","Recall",0.576666666666667,0.55,0.0449776445108803,0.531689022155786,0.621644311177547,-0.3,FALSE,0.85
"69","MIXTRAL","PT2","Precision",0.764705882352941,0.764705882352941,0,0.764705882352941,0.764705882352941,0.0255754475703329,TRUE,0.739130434782608
"70","MIXTRAL","PT2","Recall",0.65,0.65,0,0.65,0.65,-0.2,FALSE,0.85
"71","MIXTRAL","PT3","Precision",0.722222222222222,0.722222222222222,0,0.722222222222222,0.722222222222222,-0.016908212560386,FALSE,0.739130434782608
"72","MIXTRAL","PT3","Recall",0.65,0.65,0,0.65,0.65,-0.2,FALSE,0.85
"73","MIXTRAL","PT4","Precision",0.741638998682476,0.739130434782608,0.0164239224303103,0.725215076252166,0.758062921112787,0,FALSE,0.739130434782608
"74","MIXTRAL","PT4","Recall",0.85,0.85,0,0.85,0.85,0,FALSE,0.85
"75","MIXTRAL","PT5","Precision",0.749993667323388,0.772727272727272,0.0368673617180115,0.713126305605377,0.7868610290414,0.0335968379446639,TRUE,0.739130434782608
"76","MIXTRAL","PT5","Recall",0.743333333333333,0.775,0.116510568806775,0.626822764526559,0.859843902140108,-0.075,FALSE,0.85
"77","MIXTRAL","PT6","Precision",0.404255319148936,0.404255319148936,0,0.404255319148936,0.404255319148936,-0.334875115633672,FALSE,0.739130434782608
"78","MIXTRAL","PT6","Recall",0.95,0.95,0,0.95,0.95,0.1,TRUE,0.85
"79","MIXTRAL","PT7","Precision",0.322751322751322,0.326530612244897,0.0161635771943211,0.306587745557001,0.338914899945643,-0.412599822537711,FALSE,0.739130434782608
"80","MIXTRAL","PT7","Recall",0.815,0.8,0.0297981716634219,0.785201828336578,0.844798171663422,-0.0499999999999999,FALSE,0.85
