"","Model","Prompt","Measure","Mean","Median","SD","YMin","YMax","MedianDiff","Improvement","Hline"
"18","GPT-4","BASE","Recall",0.957246376811594,0.956521739130434,0.00396900403989259,0.953277372771701,0.961215380851486,0,FALSE,0.956521739130434
"19","GPT-4","PT1","Precision",1,1,0,1,1,0.0222222222222229,TRUE,0.977777777777777
"20","GPT-4","PT1","Recall",0.955072463768115,0.956521739130434,0.00551539416744466,0.949557069600671,0.96058785793556,0,FALSE,0.956521739130434
"21","GPT-4","PT2","Precision",1,1,0,1,1,0.0222222222222229,TRUE,0.977777777777777
"22","GPT-4","PT2","Recall",0.964492753623188,0.956521739130434,0.0106550547359472,0.953837698887241,0.975147808359135,0,FALSE,0.956521739130434
"23","GPT-4","PT3","Precision",0.994201528077569,1,0.0112650195464931,0.982936508531076,1.00546654762406,0.0222222222222229,TRUE,0.977777777777777
"24","GPT-4","PT3","Recall",0.97463768115942,0.978260869565217,0.00824019612585781,0.966397485033562,0.982877877285278,0.021739130434783,TRUE,0.956521739130434
"25","GPT-4","PT4","Precision",0.996376811594203,1,0.00824019612585777,0.988136615468345,1.00461700772006,0.0222222222222229,TRUE,0.977777777777777
"26","GPT-4","PT4","Recall",0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,0.021739130434783,TRUE,0.956521739130434
"27","GPT-4","PT5","Precision",0.985394524959742,0.978260869565217,0.0105059267110746,0.974888598248667,0.995900451670817,0.000483091787439993,TRUE,0.977777777777777
"28","GPT-4","PT5","Recall",0.970289855072463,0.978260869565217,0.0106550547359472,0.959634800336516,0.98094490980841,0.021739130434783,TRUE,0.956521739130434
"29","GPT-4","PT6","Precision",0.98768115942029,0.978260869565217,0.0109566724563856,0.976724486963904,0.998637831876675,0.000483091787439993,TRUE,0.977777777777777
"30","GPT-4","PT6","Recall",0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,0.021739130434783,TRUE,0.956521739130434
"31","GPT-4","PT7","Precision",0.973449823551581,0.978260869565217,0.0119626635940819,0.961487159957499,0.985412487145663,0.000483091787439993,TRUE,0.977777777777777
"32","GPT-4","PT7","Recall",0.977536231884058,0.978260869565217,0.00396900403989259,0.973567227844165,0.98150523592395,0.021739130434783,TRUE,0.956521739130434
"33","LLAMA","BASE","Precision",0.92,0.92,0,0.92,0.92,0,FALSE,0.92
"34","LLAMA","BASE","Recall",1,1,0,1,1,0,FALSE,1
"35","LLAMA","PT1","Precision",0.938775510204081,0.938775510204081,0,0.938775510204081,0.938775510204081,0.0187755102040811,TRUE,0.92
"36","LLAMA","PT1","Recall",1,1,0,1,1,0,FALSE,1
"37","LLAMA","PT2","Precision",0.897913524384112,0.901960784313725,0.00746169724321105,0.890451827140901,0.905375221627323,-0.018039215686275,FALSE,0.92
"38","LLAMA","PT2","Recall",1,1,0,1,1,0,FALSE,1
"39","LLAMA","PT3","Precision",0.819507101086048,0.821428571428571,0.00498255374922325,0.814524547336825,0.824489654835271,-0.098571428571429,FALSE,0.92
"40","LLAMA","PT3","Recall",1,1,0,1,1,0,FALSE,1
"41","LLAMA","PT4","Precision",0.965809692671395,0.958333333333333,0.00999383680020572,0.955815855871189,0.9758035294716,0.038333333333333,TRUE,0.92
"42","LLAMA","PT4","Recall",1,1,0,1,1,0,FALSE,1
"43","LLAMA","PT5","Precision",0.863508771929825,0.863508771929825,0.0574569600436582,0.806051811886166,0.920965731973483,-0.0564912280701755,FALSE,0.92
"44","LLAMA","PT5","Recall",1,1,0,1,1,0,FALSE,1
"45","LLAMA","PT6","Precision",0.818733153638813,0.803571428571428,0.0218084722710668,0.796924681367747,0.84054162590988,-0.116428571428572,FALSE,0.92
"46","LLAMA","PT6","Recall",0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,-0.0217391304347829,FALSE,1
"47","LLAMA","PT7","Precision",0.730489451215588,0.73015873015873,0.015395457429328,0.71509399378626,0.745884908644916,-0.18984126984127,FALSE,0.92
"48","LLAMA","PT7","Recall",0.996376811594203,1,0.00824019612585777,0.988136615468345,1.00461700772006,0,FALSE,1
"49","MISTRAL","BASE","Precision",0.948181818181818,0.954545454545454,0.00988679150877499,0.938295026673043,0.958068609690593,0,FALSE,0.954545454545454
"50","MISTRAL","BASE","Recall",0.913043478260869,0.913043478260869,0,0.913043478260869,0.913043478260869,0,FALSE,0.913043478260869
"51","MISTRAL","PT1","Precision",1,1,0,1,1,0.045454545454546,TRUE,0.954545454545454
"52","MISTRAL","PT1","Recall",0.763768115942029,0.760869565217391,0.0110307883348896,0.752737327607139,0.774798904276918,-0.152173913043478,FALSE,0.913043478260869
"53","MISTRAL","PT2","Precision",0.972972972972973,0.972972972972973,0,0.972972972972973,0.972972972972973,0.018427518427519,TRUE,0.954545454545454
"54","MISTRAL","PT2","Recall",0.782608695652174,0.782608695652174,0,0.782608695652174,0.782608695652174,-0.130434782608695,FALSE,0.913043478260869
"55","MISTRAL","PT3","Precision",0.872340425531914,0.872340425531914,0,0.872340425531914,0.872340425531914,-0.08220502901354,FALSE,0.954545454545454
"56","MISTRAL","PT3","Recall",0.891304347826086,0.891304347826086,0,0.891304347826086,0.891304347826086,-0.021739130434783,FALSE,0.913043478260869
"57","MISTRAL","PT4","Precision",0.695005658733728,0.69090909090909,0.0105174976085282,0.6844881611252,0.705523156342256,-0.263636363636364,FALSE,0.954545454545454
"58","MISTRAL","PT4","Recall",0.831884057971014,0.826086956521739,0.0160799990357405,0.815804058935274,0.847964057006755,-0.08695652173913,FALSE,0.913043478260869
"59","MISTRAL","PT5","Precision",0.441718879474141,0.421043827367012,0.166733754412547,0.274985125061595,0.608452633886688,-0.533501627178442,FALSE,0.954545454545454
"60","MISTRAL","PT5","Recall",0.503623188405797,0.489130434782608,0.104971172462801,0.398652015942996,0.608594360868597,-0.423913043478261,FALSE,0.913043478260869
"61","MISTRAL","PT6","Precision",0.812649790967882,0.826086956521739,0.020703439559179,0.791946351408703,0.833353230527061,-0.128458498023715,FALSE,0.954545454545454
"62","MISTRAL","PT6","Recall",0.833333333333333,0.826086956521739,0.010423115249682,0.822910218083651,0.843756448583015,-0.08695652173913,FALSE,0.913043478260869
"63","MISTRAL","PT7","Precision",0.581069790209756,0.637071992976294,0.107737316544994,0.473332473664762,0.68880710675475,-0.31747346156916,FALSE,0.954545454545454
"64","MISTRAL","PT7","Recall",0.905797101449275,0.934782608695652,0.0568991360122729,0.848897965437002,0.962696237461548,0.021739130434783,TRUE,0.913043478260869
"65","MIXTRAL","BASE","Precision",0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,0,FALSE,0.978260869565217
"66","MIXTRAL","BASE","Recall",0.978260869565217,0.978260869565217,0,0.978260869565217,0.978260869565217,0,FALSE,0.978260869565217
"67","MIXTRAL","PT1","Precision",0.976190476190476,0.976190476190476,0,0.976190476190476,0.976190476190476,-0.00207039337474102,FALSE,0.978260869565217
"68","MIXTRAL","PT1","Recall",0.891304347826086,0.891304347826086,0,0.891304347826086,0.891304347826086,-0.086956521739131,FALSE,0.978260869565217
"69","MIXTRAL","PT2","Precision",1,1,0,1,1,0.0217391304347829,TRUE,0.978260869565217
"70","MIXTRAL","PT2","Recall",0.869565217391304,0.869565217391304,0,0.869565217391304,0.869565217391304,-0.108695652173913,FALSE,0.978260869565217
"71","MIXTRAL","PT3","Precision",0.977322449299193,0.977272727272727,0.000205568302344741,0.977116880996848,0.977528017601538,-0.000988142292490002,FALSE,0.978260869565217
"72","MIXTRAL","PT3","Recall",0.93695652173913,0.934782608695652,0.00875169347687915,0.928204828262251,0.945708215216009,-0.043478260869565,FALSE,0.978260869565217
"73","MIXTRAL","PT4","Precision",0.934770277935337,0.930232558139534,0.0138458798243617,0.920924398110975,0.948616157759699,-0.048028311425683,FALSE,0.978260869565217
"74","MIXTRAL","PT4","Recall",0.869565217391304,0.869565217391304,0,0.869565217391304,0.869565217391304,-0.108695652173913,FALSE,0.978260869565217
"75","MIXTRAL","PT5","Precision",0.956571092776177,0.9656330749354,0.0254976403169479,0.93107345245923,0.982068733093125,-0.012627794629817,FALSE,0.978260869565217
"76","MIXTRAL","PT5","Recall",0.920289855072463,0.92391304347826,0.0492209477014812,0.871068907370982,0.969510802773944,-0.054347826086957,FALSE,0.978260869565217
"77","MIXTRAL","PT6","Precision",0.974551282051282,0.974358974358974,0.000298776666474076,0.974252505384808,0.974850058717756,-0.00390189520624296,FALSE,0.978260869565217
"78","MIXTRAL","PT6","Recall",0.832608695652174,0.826086956521739,0.0101324260804215,0.822476269571752,0.842741121732595,-0.152173913043478,FALSE,0.978260869565217
"79","MIXTRAL","PT7","Precision",0.996031746031746,1,0.00902497670927271,0.987006769322473,1.00505672274102,0.0217391304347829,TRUE,0.978260869565217
"80","MIXTRAL","PT7","Recall",0.891304347826086,0.891304347826086,0,0.891304347826086,0.891304347826086,-0.086956521739131,FALSE,0.978260869565217
