ID,Feature,Description
R-193,Startup,Check default panels and default open panels(content loaded?)
R-194,Startup,Check default width of Sidebar
R-195,Constraints,Check for maximum width of Sidebar
R-196,Width,Retaining non-default size on reopen or new window
R-197,UI,Cursors should have the right icon when mousing over
R-198,Mouse Over,"Verify that panels appear highlighted when mouse is moved over
        them"
R-199,Opening/Closing,Check Opening/Closing of Sidebar with grippy
R-200,Add/Remove,Check that addition of a panel works
R-201,Add/Remove,Adding a already added panel
R-202,Add/Remove,Delete a panel
R-203,Add/Remove,Delete all panels
R-204,Add/Remove,Verify list of available remote panels
R-205,Add/Remove,Verify list of available local panels
R-206,Preview,Test the previewing of panels
R-207,Customization,Test the Customization of panels
R-208,Re-Order,Verify reordering of panels works
R-209,Cancel,Verify that nothing changes when you cancel
R-210,Save,Verify that order and panel list is immediately applied
R-211,What's Related,Verify that What's Related lists related sites
R-212,What's Realted,Verify that links in What's Related panels work
R-213,Bookmarks,Verify that links in Bookmarks work
R-214,Bookmarks,Verify that changes reflect immediately from Bookmarks Manager
R-215,Add Menu,"Verify that panel title show up in Add menu when panel is
        added"
R-216,Add Menu,"Verify that unselecting panels from Add menu removes panels from
        the Sidebar"
R-217,Add Panel using Javascript,Verify that adding of a panel using javascript works
R-218,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-219,Basic UI and navigation,"Determine that interface features (buttons, textfield, droplist)
        appear and behave as expected. Includes tests to dismiss dialog."
R-220,URL in current browser window,"Open a web location (URL) in the current Navigator window. Includes
        test to dismiss dialog."
R-221,URL in new browser window,"Open a web location (URL) in a new Navigator window. Includes test
        to dismiss dialog."
R-222,URL in an editor window,"Open web location in a Composer window. Includes test to dismiss
        dialog."
R-223,URL autocompletion,"After viewing a file/page or three, test URL
        autocompletion: test for current browser, new browser and new editor
        windows."
R-224,Nonexistent URL,Open a nonexistent (bogus) web location.
R-225,Local file in current browser window,"Open local files (both HTML and plain text tested) in the current
        Navigator window. Includes tests to dismiss dialog."
R-226,Local file in new browser window,"Open local files (both HTML and plain text tested) in a new
        Navigator window. Includes tests to dismiss dialog."
R-227,Local file in an editor window,"Open local files (both HTML and plain text tested) in a Composer
        window. Includes tests to dismiss dialog."
R-228,Nonexistent local file,Open a nonexistent (bogus) local file.
R-229,URL to a image files,"Open web locations to various image files, such as.gif,.jpg."
R-230,Check for Themes,"Verify both Classic and Modern exist under the themes
        preferences"
R-231,Testing under Classic theme,Verify Classic theme works as advertised
R-232,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-233,Testing under Modern theme,Verify Modern theme works as advertised
R-234,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-235,Checking View menu,Verify if themes exist under View menu
R-236,Verify all the selectable items work under Classic theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Classic theme"
R-237,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-238,Verify all the selectable items work under Modern theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Modern theme"
R-239,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-240,Verify themes under View menu,"Test all the items under ""Apply Theme"" under View menuSelecting ""Theme Preferences""Get New ThemesClassicModern"
R-241,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-242,Active/Inactive Window,"The active window is visually distinct, inactive = grey title
        bar."
R-243,Maximize Window,Click to maximize (expandto content on Mac)
R-244,Collapse (mac only),Click to shrink to content
R-245,Close Wndow,Click upper-right (upper left on Mac) to close
R-246,Stretch Window Horizontally,"Grab left/right window edge and drag to resize. Not available on
        Mac."
R-247,Stretch Window Vertically,"Grab top/bottom window edge and drag to resize. Not available on
        Mac."
R-248,Stretch Window Diagonally,"Grab any corner of window and drag to resize. Only bottom-right
        corner on Mac."
R-249,Scroll Arrow Up,Click up arrow to scroll page
R-250,Scroll Arrow Down,Click down arrow to scroll page
R-251,Thumb Scroll,Click and drag thumb to scroll page
R-252,Page scroll,Click in the scrollbar area to page up/down.
R-253,Show and Hide,"Verify that Personal and Navigation bars can be expanded and
        collapsed"
R-254,Reorder,"Verify that toolbars can be dragged&dropped to change their
        order"
R-255,Correct items on Bookmarks bar.,Verify correct bookmarks are installed in Bookmarks bar.
R-256,Add a folder,"Verify that a folder added to the personal toolbar functions
        properly."
R-257,Buttons,Verify that each buttons executes as appropriate.
R-258,Correct items/links,Verify that the correct items are in the taskbar.
R-259,Component buttons,Verify that component buttons work and behave as appropriate.
