ID,Feature,Description
R-178,"Preferences, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (espn.com)"
R-179,"Preferences, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager"
R-180,"Preferences, passwords never saved, remove","Verify that you can remove a site and username from the passwords
      never saved section of password manager (ivillage.com)"
R-181,"Preferences, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager (ivillage.com)"
R-182,"Tasks, view saved passwords","Verify that when you have saved a username and password in password
      manager, this information can be viewed in the password manager through
      tasks"
R-183,"Tasks, view passwords never saved","Verify that when you have designated not to ever save a username and
      password in password manager, this information can be viewed in the
      password manager through tasks (nbci.com)"
R-184,"Tasks, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (netscape.com)"
R-185,"Tasks, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager (lycos.com)"
R-186,"Tasks, passwords never saved, remove","Verify that you can remove a site and username from the passwords
      never saved section of password manager"
R-187,"Tasks, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager"
R-188,Print a Page with frames,Determine whether a page with frames prints properly
R-189,Page with various formats,Determine whether a page with various formats prints properly
R-190,Test Page,Print a test page and check to see if it prints properly
R-191,Alignment Test,"Determine if a page with aligned text prints as seen on
        screen"
R-192,Indentation Test,Determine if a page with indentations prints as seen on screen
R-193,Test Portrait and Landscape settings,"Determine if a page with portrait and Landscape settings prints
        properly"
R-194,Print HTML forms and widgets,Determine if HTML forms and widgets print properly
R-195,"Print a ""Page Source""",Determine if page source prints as seen on screen
R-196,CSS Testcases for printing,Determine if CSS pages print properly
R-197,Print Mozillazine poll result page,Determine if the Mozillazine Poll results page prints properly
R-198,Print large complex pages,Determine if  large page print properly
R-199,Sample XML Pages for printing,Determine if XML pages print properly
R-200,Top Web Sites,Determine if  top web sites print properly
R-201,Print some HTML 4.0 pages,Determine if HTML 4.0 pages print properly
R-202,Print images,Determine if images print correctly
R-203,Print Lists,Determine if lists print correctly
R-204,Print Tables,Determine if tables print correctly
R-205,Print Character Styles,Determine if character styles print correctly
R-206,Print Paragraph Styles,Determine if paragraph styles print correctly
R-207,Print Preview,Determine if print Preview works correctly
R-208,Page Setup(mac only),Determine id Page Setup dialog works correctly
R-209,Off-Line Printing,Determine that off-line printing works
R-210,Header/Footer Test,Determine that header/footer info gets printed
R-211,Print Range,Determine that print range works properly
R-212,Macromedia Flash plugin,Determine if flash movies play correctly.
R-213,Realplayer tests,Determine if Realaudio works properly
R-214,Quicktime tests,Determine if quicktime movies play properly
R-215,Sound tests,Determine if files with various sound formats play properly
R-216,Macromedia Shockwave Tests,Determine if Shockwave movies work properly
R-217,Acrobat Tests,Determine if Acrobat plugin works properly
R-218,Media Player tests,Determine if windows media player works fine
R-219,Viewpoint Plugin,Determine if windows media player works fine
R-220,Search button,Verify that just clicking Search button goes to search page
R-221,Search button,"Verify that clicking search button will search text entered in
      URLBar."
R-222,URL/Sidebar interaction,Verify that starting a URL bar search triggers the sidebar
R-223,basic sidebar search,"Verify that a basic search from within the Search tab can be
      executed"
R-224,basic sidebar search,Verify that a user can change the search engine
R-225,Bookmark Search,Verify that a search query/results can be bookmarked
R-227,Drag-selection,"Currently, it is my understanding that there will be no new
        features in this area (can monitor bug list)"
R-228,Drag-selection,"Determine whether drag-selection of text works, both from dead
        space, and from within text."
R-229,Double-click,Determine whether the double-click gesture functions properly.
R-230,Triple-click,Determine whether the triple-click gesture functions properly.
R-231,Discontiguous (disjoint) selection,"Determine whether discontiguous selection of table cells function
        properly."
R-232,Shift Select,"Determine whether shift-select gestures for text function
        properly."
R-233,Drag Scroll,Determine whether drag-scrolling gestures function properly.
R-234,JavaScript,"Determine whether text from a JavaScript applet is properly
        selected in conjunction with other page content."
R-235,Startup,Check default panels and default open panels(content loaded?)
R-236,Startup,Check default width of Sidebar
R-237,Constraints,Check for maximum width of Sidebar
R-238,Width,Retaining non-default size on reopen or new window
R-239,UI,Cursors should have the right icon when mousing over
R-240,Mouse Over,"Verify that panels appear highlighted when mouse is moved over
        them"
R-241,Opening/Closing,Check Opening/Closing of Sidebar with grippy
R-242,Add/Remove,Check that addition of a panel works
R-243,Add/Remove,Adding a already added panel
R-244,Add/Remove,Delete a panel
R-245,Add/Remove,Delete all panels
R-246,Add/Remove,Verify list of available remote panels
R-247,Add/Remove,Verify list of available local panels
R-248,Preview,Test the previewing of panels
R-249,Customization,Test the Customization of panels
R-250,Re-Order,Verify reordering of panels works
R-251,Cancel,Verify that nothing changes when you cancel
R-252,Save,Verify that order and panel list is immediately applied
R-253,What's Related,Verify that What's Related lists related sites
R-254,What's Realted,Verify that links in What's Related panels work
R-255,Bookmarks,Verify that links in Bookmarks work
R-256,Bookmarks,Verify that changes reflect immediately from Bookmarks Manager
R-257,Add Menu,"Verify that panel title show up in Add menu when panel is
        added"
R-258,Add Menu,"Verify that unselecting panels from Add menu removes panels from
        the Sidebar"
R-259,Add Panel using Javascript,Verify that adding of a panel using javascript works
R-260,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-261,Basic UI and navigation,"Determine that interface features (buttons, textfield, droplist)
        appear and behave as expected. Includes tests to dismiss dialog."
R-262,URL in current browser window,"Open a web location (URL) in the current Navigator window. Includes
        test to dismiss dialog."
R-263,URL in new browser window,"Open a web location (URL) in a new Navigator window. Includes test
        to dismiss dialog."
R-264,URL in an editor window,"Open web location in a Composer window. Includes test to dismiss
        dialog."
R-265,URL autocompletion,"After viewing a file/page or three, test URL
        autocompletion: test for current browser, new browser and new editor
        windows."
R-266,Nonexistent URL,Open a nonexistent (bogus) web location.
R-267,Local file in current browser window,"Open local files (both HTML and plain text tested) in the current
        Navigator window. Includes tests to dismiss dialog."
R-268,Local file in new browser window,"Open local files (both HTML and plain text tested) in a new
        Navigator window. Includes tests to dismiss dialog."
R-269,Local file in an editor window,"Open local files (both HTML and plain text tested) in a Composer
        window. Includes tests to dismiss dialog."
R-270,Nonexistent local file,Open a nonexistent (bogus) local file.
R-271,URL to a image files,"Open web locations to various image files, such as.gif,.jpg."
R-272,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-273,Use on Win32,"Use of the native Win32 file picker to navigate through directories
        and open files (html, plaintext, image). Cancellation also tested."
R-274,Use on Mac OS,"Use of the native Mac OS file picker to navigate through
        directories and open files (html, plaintext, image). Cancellation also
        tested."
R-275,Use on unix,"Use of the XUL file picker on Linux to navigate through 
        directories and open files (html, plaintext, image). Resizing,
        selection/scrolling, cancellation also tested. Test last
        directory-viewed."
R-276,Basic access of Find and Find Again,"Access from main menu, keyboard accelerator, access keys."
R-277,Basic find in page and frame content,"Find in html page and html frame documents. Test Find Again and
        cancellation. Test for NOFRAME content."
R-278,Find in other document content,"Find in plaintext, xml page, ftp listing."
R-279,Case sensitivity,Find with and without case sensitivity. Test Find Again.
R-280,Document wrapping,Find with and without document wrapping. Test Find Again.
R-281,Find direction,"Find forwards and backwards within a document. Test Find
        Again."
R-282,"Whitespace, null","Find using solely whitespace, null, and string with
        prepended/appended whitespace."
R-283,Find in input (editable) textfield,Attempt to find strings within an input textfield.
R-284,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-285,Context menu access,Viewing page and frame source via context menu.
R-286,View source of other content,"View source of plaintext, xml page, ftp listing."
R-287,Navigation/UI,"Scrolling and keyboard navigation within the source window. Also
        should be able to use keyboard accelerators. Resize source window."
R-288,Find,Find strings in the source window.
R-289,Select and copy,Select and copy strings from the source window.
R-290,Color coding,"Verify the expected displayed color for content, tags/attributes,
        values, script code, entities, etc."
R-291,Basic access,Access from main menu and access keys.
R-292,"Page, frame, frameset","View info for a webpage, frame and frameset."
R-293,Other content,"Attempt to view page info for plain text, xml, ftp listing,
        directory listing..."
R-294,Info window content,Verify these sections:Information on the current pageForms on the current page (if applicable)Images on the current page (if applicable)Screenshot of selected images below grippy.
R-295,Navigation/UI,"Scrolling and keyboard navigation within the info window. Also
        should be able to use [applicable] keyboard accelerators. Resize source
        window. Manipulate the grippy."
R-296,Select and copy,Select and copy from the info window.
R-297,Check for Themes,"Verify both Classic and Modern exist under the themes
        preferences"
R-298,Testing under Classic theme,Verify Classic theme works as advertised
R-299,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-300,Testing under Modern theme,Verify Modern theme works as advertised
R-301,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-302,Checking View menu,Verify if themes exist under View menu
R-303,Verify all the selectable items work under Classic theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Classic theme"
R-304,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-305,Verify all the selectable items work under Modern theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Modern theme"
R-306,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-307,Verify themes under View menu,"Test all the items under ""Apply Theme"" under View menuSelecting ""Theme Preferences""Get New ThemesClassicModern"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-309,Active/Inactive Window,"The active window is visually distinct, inactive = grey title
        bar."
R-310,Maximize Window,Click to maximize (expandto content on Mac)
R-311,Collapse (mac only),Click to shrink to content
R-312,Close Wndow,Click upper-right (upper left on Mac) to close
R-313,Stretch Window Horizontally,"Grab left/right window edge and drag to resize. Not available on
        Mac."
R-314,Stretch Window Vertically,"Grab top/bottom window edge and drag to resize. Not available on
        Mac."
R-315,Stretch Window Diagonally,"Grab any corner of window and drag to resize. Only bottom-right
        corner on Mac."
R-316,Scroll Arrow Up,Click up arrow to scroll page
R-317,Scroll Arrow Down,Click down arrow to scroll page
R-318,Thumb Scroll,Click and drag thumb to scroll page
R-319,Page scroll,Click in the scrollbar area to page up/down.
R-320,Show and Hide,"Verify that Personal and Navigation bars can be expanded and
        collapsed"
R-321,Reorder,"Verify that toolbars can be dragged&dropped to change their
        order"
R-322,Correct items on Bookmarks bar.,Verify correct bookmarks are installed in Bookmarks bar.
R-323,Add a folder,"Verify that a folder added to the personal toolbar functions
        properly."
R-324,Buttons,Verify that each buttons executes as appropriate.
R-325,Correct items/links,Verify that the correct items are in the taskbar.
R-326,Component buttons,Verify that component buttons work and behave as appropriate.
