ID,Feature,Description
R-151,Cache/Networking,"Determine whether images load directly into the web browser from a
        networked server."
R-152,Image Display,"Determine whether images load directly into the web browser from a
        local hard drive."
R-157,Image Display,"Determine whether X Bitmap (XBM) format images can be displayed.Note: XBM will not be supported in the initial 5.0
          release."
R-158,Image Display,"Determine whether GIF 87 images are properly displayed across
        different bit depths."
R-162,Test Liveconnect functionality with applets,Test applets with liveconnect
R-163,Test lifecycle of applets,Test lifecycle of applets
R-166,"Save username and password, yes","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-169,"Activation, disable after saved","Verify that when the password manager has been disabled, it is no
      longer in use, even for passwords already saved"
R-172,"Password Manager, multiple users","Verify that when you have saved multiple username's and password's
      for a website, you are later presented with those same choices"
R-173,"Password Manager, multiple passwords","Verify that when you have saved a username and password for a website
      and you later change the password, that password manager picks up the new
      password"
R-174,Preferences disable,"Verify that when you disable password manager from the preferences
      panel, you no longer are asked if you would like to save passwords and
      longer get prefilled info on sites"
R-175,Preferences enable,"Verify that when you enable password manager from the preferences
      panel, you are asked if you would like to save usernames and passwords
      and get prefilled info on sites"
R-178,"Preferences, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (espn.com)"
R-181,"Preferences, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager (ivillage.com)"
R-185,"Tasks, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager (lycos.com)"
R-188,Print a Page with frames,Determine whether a page with frames prints properly
R-196,CSS Testcases for printing,Determine if CSS pages print properly
R-200,Top Web Sites,Determine if  top web sites print properly
R-205,Print Character Styles,Determine if character styles print correctly
R-210,Header/Footer Test,Determine that header/footer info gets printed
R-213,Realplayer tests,Determine if Realaudio works properly
R-218,Media Player tests,Determine if windows media player works fine
R-223,basic sidebar search,"Verify that a basic search from within the Search tab can be
      executed"
R-224,basic sidebar search,Verify that a user can change the search engine
R-225,Bookmark Search,Verify that a search query/results can be bookmarked
R-229,Double-click,Determine whether the double-click gesture functions properly.
R-232,Shift Select,"Determine whether shift-select gestures for text function
        properly."
R-236,Startup,Check default width of Sidebar
R-237,Constraints,Check for maximum width of Sidebar
R-238,Width,Retaining non-default size on reopen or new window
R-242,Add/Remove,Check that addition of a panel works
R-243,Add/Remove,Adding a already added panel
R-244,Add/Remove,Delete a panel
R-245,Add/Remove,Delete all panels
R-253,What's Related,Verify that What's Related lists related sites
R-254,What's Realted,Verify that links in What's Related panels work
R-257,Add Menu,"Verify that panel title show up in Add menu when panel is
        added"
R-261,Basic UI and navigation,"Determine that interface features (buttons, textfield, droplist)
        appear and behave as expected. Includes tests to dismiss dialog."
R-264,URL in an editor window,"Open web location in a Composer window. Includes test to dismiss
        dialog."
R-268,Local file in new browser window,"Open local files (both HTML and plain text tested) in a new
        Navigator window. Includes tests to dismiss dialog."
R-271,URL to a image files,"Open web locations to various image files, such as.gif,.jpg."
R-273,Use on Win32,"Use of the native Win32 file picker to navigate through directories
        and open files (html, plaintext, image). Cancellation also tested."
R-282,"Whitespace, null","Find using solely whitespace, null, and string with
        prepended/appended whitespace."
R-284,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-291,Basic access,Access from main menu and access keys.
R-299,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-304,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-305,Verify all the selectable items work under Modern theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Modern theme"
R-306,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-307,Verify themes under View menu,"Test all the items under ""Apply Theme"" under View menuSelecting ""Theme Preferences""Get New ThemesClassicModern"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-313,Stretch Window Horizontally,"Grab left/right window edge and drag to resize. Not available on
        Mac."
R-314,Stretch Window Vertically,"Grab top/bottom window edge and drag to resize. Not available on
        Mac."
R-315,Stretch Window Diagonally,"Grab any corner of window and drag to resize. Only bottom-right
        corner on Mac."
R-316,Scroll Arrow Up,Click up arrow to scroll page
R-321,Reorder,"Verify that toolbars can be dragged&dropped to change their
        order"
