ID,Purpose,Test steps
303,Possible overheating - Cat1 3 phase,Verify that the metering device has the capability to detect connections that may cause overheating.
304,Possible overheating - Cat2,Verify that the metering device has the capability to detect connections that may cause overheating.
310,Measurement and recording / phase,"Verify that the Metering Unit for each phase is able to measure and record the minimum, maximum and average value of voltage, current, active and reactive power of the electricity output and input per 5 minutes."
330,Register overheating in connection,"Verify that the Metering System is able to record and store information when the following Events occur:
17. In case of connection overheating"
332,Disable sending of Events from specific Metering Unit,Verify that it is possible to disable the sending of Events from the designated Metering Unit from HES in order not to have to receive a large amount of Events from a particular Metering Unit.
360,Block switches from HES,"For Cat1 - 1 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat1 - 3 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat2 meters, verify that the Meter breaker cannot be blocked from HES to prevent local connection."
414,type approval - Cat1,"Verify that the Extended Type Approval and Certification of Metering Units is carried out according to method SPM 1618, test with 12 kV surge voltage."
415,type approval - Cat2,"Verify that the Extended Type Approval and Certification of Metering Units is carried out according to method SPM 1618, test with 12 kV surge voltage."
432,Cat 2 shall meet the requirements for control,"Verify that Metering Units Category 2 meet the requirements for Inspection, according to Regulation STAFS 2009:8, for the first Inspection. However, only for a maximum of 12 years after Final Approval has been given by the Client."
445,Resistant marking - Cat1,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
446,Resistant marking - Cat2,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
447,Legible marking - Cat1,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
448,Legible marking - Cat2,"Verify that the marking of the meter's manufacturing number is clearly legible
- i.e. the font size must not be too small so that the number is difficult to read e.g. for a customer"
451,Location of the marking - Cat1,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
452,Location of the label - Cat2,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
465,screw anchors - Cat2,Verify that there are no elevations around the Metering Unit's screw attachments that limit the size of the screw head.
466,screw anchors - Cat1,Verify that there are no elevations around the Metering Unit's screw attachments that limit the size of the screw head.
483,Quantity of allowed faulty meters Cat1 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
484,Amount of allowed faulty meters Cat2 - RISE,"During the expected lifetime of the Metering Units, the occurrence of faults (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
489,Recovery time after communication breakdown max 60 min,Break the communication link from meter. Voltage is left in meter. Wait one hour and turn on the link again.
593,Automatic export of energy values,Wait until the time for export occurs.
594,Manual export of energy values,Start an export from HES.
596,logging of events,Verify in HES that the events and their attribute values can be displayed in an event list.
616,Installation of new metering device via integration,Information regarding structure data for new set-up is sent from the integration interface Mint to Collection Manager. Verify that information entered on the user point in Collection Manager corresponds to what is specified in the Work Order. An acknowledgment is sent to Generis that the meter is set up in Collection Manager. Check that the user point is displayed under the correct coordinates in the map view in Vision. Check that the meter has the correct profile and that Energy values. PQ values and GSM diagnostics are pushed from the meter at the correct interval.
618,Dismantling of metering unit via integration,Information regarding the structure data for the removal of a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the metering unit is removed in Collection Manager and does not have a connection to the user point.
619,Update of measurement point in CM,Information regarding the structure data for updating a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the information to be updated via Mint has also been changed at the current user point.
620,New Metering Unit is set up in CM and taken down in ACM - Take down fails in ACM,Initiate a new set-up of a metering unit in CM and ensure that the metering unit is still in ACM when the new set-up is carried out in CM. A message is sent from CM to Generis stating that the metering unit in ACM is not taken down.
621,New Metering Unit is set up in CM and taken down in AiMiR - Take down fails in AiMiR,Initiate a new set-up of a metering unit in CM and ensure that the metering unit remains in AiMiR when the new set-up is carried out in CM. Mail is sent to the AiMir box.
622,New Metering Unit is set up in CM and taken down in ACM - Set-up fails in CM,Initiate a new set-up of a metering unit in CM and make sure that the metering unit is already connected to another facility in CM. Message is sent from CM to Generis stating that the metering unit is not created in CM.
623,New Metering Unit is set up in CM and taken down in AiMiR - Set-up fails in CM,Initiate a new set-up of a metering unit in CM and ensure that the metering unit is still in AiMir when the new set-up is carried out in CM. A message is sent from CM to Generis stating that the metering unit has not been created in CM.
624,Existing Metering Unit is changed in CM - Meter change fails in CM,Initiate a meter change of an existing metering unit in CM to a New Metering Unit. Enter incorrect serial number for the existing meter in the Work Order. Message is sent from CM to Generis stating that the metering unit is not created in CM. Verify the status of the work order in Generis.
625,New metering unit set up in CM - Set up fails in CM,Initiate new installation of a metering unit in CM. Enter a serial number for the metering unit already connected to an installation in the work order. Message is sent from CM to Generis stating that the metering unit is not created in CM. Verify the status of the work order in Generis.
626,Metering unit is taken down in CM - Take-down fails in CM,Initiate a removal of a metering unit in CM where mandatory information in the work order is not complete. Message is sent from CM to Generis stating that the metering unit is not removed in CM. Verify the status of the work order in Generis.
642,Hardware for the user interface,"HES shall be designed to be used with different types of computers, tablets and smart phones, with different architectures and operating systems."
